title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Island Of Lost Souls,Blondie,0.584,0.638,2,-8.798,1,0.0448,0.179,0.00144,0.56,0.869,81.319,230240,4,7ws0FaHPNTK2Z6ujUPSviN,7ws0FaHPNTK2Z6ujUPSviN,7
Maria,Blondie,0.548,0.8,9,-6.926,1,0.0597,0.038,0.00255,0.0678,0.805,159.654,249427,4,7bOYOD0d7ByMTXvJnQVl8d,7bOYOD0d7ByMTXvJnQVl8d,3
Ain't No Mountain High Enough - Mono,Marvin Gaye,0.62,0.813,11,-6.115,0,0.0307,0.29,0.000109,0.143,0.832,129.38,148093,4,76resiPGue5Cum9rLUKCj0,76resiPGue5Cum9rLUKCj0,5
Desecration Smile,Red Hot Chili Peppers,0.575,0.788,2,-3.66,1,0.0228,0.178,4.72e-05,0.11,0.436,91.853,301627,4,0GRvnYqlnh7ttq9NS6s3Ta,0GRvnYqlnh7ttq9NS6s3Ta,0
Tell Me Baby,Red Hot Chili Peppers,0.695,0.993,0,-3.114,1,0.0612,0.00177,0.00246,0.0814,0.281,107.951,247667,4,0itNMuBHye9fu392b4e9oa,0itNMuBHye9fu392b4e9oa,0
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,0.683,0.734,4,-4.523,0,0.029,0.00112,0.0139,0.258,0.576,106.254,282400,4,0PgNhIg5n0UAOBVn43b8b6,0PgNhIg5n0UAOBVn43b8b6,5
Everlong,Foo Fighters,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,4,5UWwZ5lm5PKu6eKsHAGxOk,5UWwZ5lm5PKu6eKsHAGxOk,0
Best of You,Foo Fighters,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,255627,4,5FZxsHWIvUsmSK1IAvm2pp,5FZxsHWIvUsmSK1IAvm2pp,0
All My Life,Foo Fighters,0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,263440,4,6tsojOQ5wHaIjKqIryLZK6,6tsojOQ5wHaIjKqIryLZK6,7
Learn to Fly,Foo Fighters,0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293,4,5OQsiBsky2k2kDKy2bX2eT,5OQsiBsky2k2kDKy2bX2eT,0
Times Like These,Foo Fighters,0.376,0.908,4,-3.793,0,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.581,265560,4,67vYdAAM3oGsEImCRfbtsF,67vYdAAM3oGsEImCRfbtsF,0
Before the Next Teardrop Falls,Freddy Fender,0.799,0.345,10,-11.52,1,0.0276,0.748,2.39e-05,0.169,0.776,90.417,156874,4,3awuorsQsio2PUOvzq3hpd,3awuorsQsio2PUOvzq3hpd,6
Wasted Days and Wasted Nights,Freddy Fender,0.628,0.479,4,-7.562,1,0.0283,0.559,8.69e-05,0.201,0.85,87.587,164676,4,0Ao3qWJKueyfs3iqwGN30F,0Ao3qWJKueyfs3iqwGN30F,3
Pick up the Pieces,Average White Band,0.77,0.858,10,-7.086,0,0.0492,0.0106,0.685,0.0298,0.76,109.883,234587,4,2H5nsVLjDwWsxfyajm0lVS,2H5nsVLjDwWsxfyajm0lVS,4
Thank You (Falettinme Be Mice Elf Agin) - Single Version,Sly & The Family Stone,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822,291320,4,74iQ3gahRTOGc19bYadBE3,74iQ3gahRTOGc19bYadBE3,3
If You Want Me to Stay,Sly & The Family Stone,0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,180493,4,2BydLQAh7CUIFvSEqAMc4x,2BydLQAh7CUIFvSEqAMc4x,5
Hot Fun in the Summertime,Sly & The Family Stone,0.612,0.686,0,-11.465,1,0.0604,0.478,1.03e-05,0.0777,0.769,145.276,157080,3,4UPdiMAAR1G8vxuALyZhcf,4UPdiMAAR1G8vxuALyZhcf,2
Stand!,Sly & The Family Stone,0.646,0.819,10,-8.003,0,0.0591,0.501,6.72e-06,0.196,0.708,108.18,188040,4,0mkioNESTHq5loUTurv9y0,0mkioNESTHq5loUTurv9y0,5
Runnin' Away - Single Version,Sly & The Family Stone,0.854,0.651,10,-11.928,0,0.076,0.618,0.0178,0.112,0.944,103.438,176133,4,16kPxCqdFW1MIyG0m0JYWg,16kPxCqdFW1MIyG0m0JYWg,5
Baby Come Back,Player,0.646,0.602,5,-10.238,0,0.0758,0.0599,1.7e-05,0.0956,0.543,156.101,255845,4,41sGGCCoHI2GLV9qadX80A,41sGGCCoHI2GLV9qadX80A,5
Still the One,Orleans,0.565,0.615,4,-10.793,1,0.0384,0.0487,1.93e-06,0.16,0.591,143.928,234040,4,2dtK02TSAuTvVYU2wGAVG0,2dtK02TSAuTvVYU2wGAVG0,0
Dance with Me,Orleans,0.565,0.392,2,-10.083,1,0.0268,0.551,0.000106,0.247,0.493,98.485,180480,4,3D0fUBloGwPcLGLyheGWXu,3D0fUBloGwPcLGLyheGWXu,6
How Much I Feel,Ambrosia,0.667,0.513,4,-7.96,1,0.026,0.305,0.0,0.0851,0.518,95.306,283400,4,3GVhCuS4BRxCTvVj4Cmc8w,3GVhCuS4BRxCTvVj4Cmc8w,3
The Beginning,Seal,0.619,0.652,11,-11.426,1,0.033,0.0348,4.14e-05,0.0945,0.668,123.683,340307,4,3MRj8igEJVWZyrK3FRoNaa,3MRj8igEJVWZyrK3FRoNaa,3
Let Love Rule,Lenny Kravitz,0.689,0.452,0,-12.927,1,0.0407,0.0293,0.26,0.0672,0.696,152.814,342160,4,2pmN85k5m9nO1rWaCDdrNE,2pmN85k5m9nO1rWaCDdrNE,3
What The .... Are We Saying?,Lenny Kravitz,0.658,0.482,4,-10.884,1,0.0323,0.0607,0.587,0.116,0.387,151.244,313773,4,5aU599kdWCpSx6sp9CIZB4,5aU599kdWCpSx6sp9CIZB4,4
American Woman,Lenny Kravitz,0.688,0.671,1,-7.872,1,0.0975,0.0304,0.0,0.0782,0.537,83.988,264560,4,3X6iIrFuQoCshIWBseEKPl,3X6iIrFuQoCshIWBseEKPl,3
Where Are We Runnin'?,Lenny Kravitz,0.723,0.929,9,-4.156,0,0.0353,0.000452,0.125,0.236,0.965,130.03,161293,4,4ouIWkFspNZYFO87Gdufxb,4ouIWkFspNZYFO87Gdufxb,5
I'll Be Waiting,Lenny Kravitz,0.677,0.452,10,-6.468,1,0.0332,0.0736,0.0065,0.0969,0.595,72.779,259187,4,521r1faH9BQlyPVR5pMmXm,521r1faH9BQlyPVR5pMmXm,3
Come into My Life (Radio Mix),Joyce Sims,0.613,0.849,8,-5.658,0,0.0408,0.187,0.409,0.05,0.832,94.787,227773,4,0cpTfK32V7XdCoOkPJI2kO,0cpTfK32V7XdCoOkPJI2kO,5
Vision of Love,Mariah Carey,0.256,0.464,5,-10.959,1,0.0382,0.433,0.0,0.121,0.355,205.362,209293,3,0gLQ6jhJsyYfl7PrD1RZ7X,0gLQ6jhJsyYfl7PrD1RZ7X,2
Open Arms,Mariah Carey,0.3,0.327,8,-11.533,1,0.0345,0.689,0.0,0.0962,0.0939,104.189,209267,3,5zVY1h1jUFLhZ7fLBjMTK7,5zVY1h1jUFLhZ7fLBjMTK7,2
Through The Rain,Mariah Carey,0.509,0.318,8,-9.911,1,0.0365,0.758,0.0,0.184,0.139,122.035,288640,4,1TT6pwOM1puBtx8bYSMTBA,1TT6pwOM1puBtx8bYSMTBA,6
Against All Odds (Take A Look At Me Now),Mariah Carey,0.537,0.479,1,-5.309,1,0.0281,0.643,4.09e-06,0.0866,0.178,117.674,204800,4,1vf0m8FrWV2f8CiU72mysM,1vf0m8FrWV2f8CiU72mysM,6
The War Song,Culture Club,0.809,0.758,0,-7.023,1,0.0372,0.0951,0.0,0.0481,0.893,117.134,252853,4,5s4wHG3KqDI7cxYTbRDi6Q,5s4wHG3KqDI7cxYTbRDi6Q,3
Victims,Culture Club,0.418,0.415,8,-9.511,1,0.0309,0.537,0.0,0.0803,0.35,126.853,294133,4,7CCzQFZSF01mPM4capQ4tj,7CCzQFZSF01mPM4capQ4tj,6
Time (Clock Of The Heart),Culture Club,0.723,0.633,0,-11.24,0,0.0357,0.529,0.0,0.0701,0.898,116.95,223693,4,5Jak77MTrWWypQr85wmXeo,5Jak77MTrWWypQr85wmXeo,5
Move Away,Culture Club,0.666,0.692,5,-11.583,1,0.0379,0.151,6.44e-06,0.34,0.89,132.253,261733,4,1bmj3ov2PP4xPUm0LCUts2,1bmj3ov2PP4xPUm0LCUts2,3
